epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,223.116,0.65992,0.40273,0.93148,0.99925,1,0.995,0.8545,0.63905,0.34082,0.87344,0.0011288,0.0011288,0.0011288
46,227.743,0.6686,0.40062,0.93668,0.99921,1,0.995,0.8426,0.61699,0.32639,0.86847,0.001109,0.001109,0.001109
47,232.622,0.61899,0.36327,0.92821,0.99911,1,0.995,0.85346,0.60883,0.32263,0.87451,0.0010892,0.0010892,0.0010892
48,237.353,0.65708,0.38255,0.93514,0.99917,1,0.995,0.81854,0.64997,0.35332,0.89038,0.0010694,0.0010694,0.0010694
49,242.34,0.6616,0.39431,0.92738,0.99931,1,0.995,0.83104,0.6231,0.31087,0.88663,0.0010496,0.0010496,0.0010496
50,247.03,0.68317,0.37718,0.93855,0.99931,1,0.995,0.84522,0.63492,0.31606,0.88419,0.0010298,0.0010298,0.0010298
51,252.182,0.62332,0.37781,0.92941,0.99929,1,0.995,0.85873,0.63037,0.31261,0.87416,0.00101,0.00101,0.00101
52,257.068,0.67513,0.39653,0.94529,0.99924,1,0.995,0.83374,0.69327,0.31879,0.87967,0.0009902,0.0009902,0.0009902
53,261.658,0.62854,0.37184,0.92242,0.99929,1,0.995,0.8696,0.61757,0.30295,0.87085,0.0009704,0.0009704,0.0009704
54,266.487,0.61019,0.36256,0.91868,0.99928,1,0.995,0.86787,0.60168,0.30177,0.86409,0.0009506,0.0009506,0.0009506
55,271.354,0.61467,0.3693,0.9207,0.99921,1,0.995,0.85267,0.6175,0.31426,0.87766,0.0009308,0.0009308,0.0009308
56,276.152,0.6368,0.36357,0.93272,0.9992,1,0.995,0.84619,0.6226,0.30461,0.86834,0.000911,0.000911,0.000911
57,281.136,0.65804,0.3803,0.92548,0.99929,1,0.995,0.86987,0.58458,0.29356,0.86032,0.0008912,0.0008912,0.0008912
58,286.057,0.58558,0.35375,0.92467,0.99931,1,0.995,0.85075,0.64238,0.30602,0.87689,0.0008714,0.0008714,0.0008714
59,290.94,0.61662,0.35214,0.90547,0.99929,1,0.995,0.85758,0.60429,0.30185,0.86938,0.0008516,0.0008516,0.0008516
60,295.741,0.61821,0.36321,0.91552,0.99921,1,0.995,0.83914,0.65266,0.32175,0.88372,0.0008318,0.0008318,0.0008318
61,300.419,0.61694,0.36329,0.92869,0.99931,1,0.995,0.86275,0.59489,0.28425,0.86484,0.000812,0.000812,0.000812
62,305.199,0.62903,0.37321,0.92271,0.99931,1,0.995,0.86076,0.62104,0.30387,0.86191,0.0007922,0.0007922,0.0007922
63,309.873,0.61767,0.36125,0.91955,0.99928,1,0.995,0.86339,0.61576,0.28702,0.86911,0.0007724,0.0007724,0.0007724
64,314.837,0.59141,0.34508,0.90495,0.99929,1,0.995,0.86603,0.59338,0.29089,0.86522,0.0007526,0.0007526,0.0007526
65,319.487,0.59807,0.35004,0.9172,0.99928,1,0.995,0.8488,0.5976,0.28695,0.86643,0.0007328,0.0007328,0.0007328
66,324.479,0.58497,0.34812,0.92209,0.99931,1,0.995,0.85807,0.60093,0.29292,0.87129,0.000713,0.000713,0.000713
67,329.338,0.59957,0.34988,0.92186,0.99924,1,0.995,0.8572,0.6108,0.30434,0.87454,0.0006932,0.0006932,0.0006932
68,334.133,0.59131,0.35207,0.93448,0.99907,1,0.995,0.85791,0.61235,0.29651,0.87569,0.0006734,0.0006734,0.0006734
69,339.024,0.59124,0.33218,0.91657,0.99929,1,0.995,0.85684,0.62026,0.29718,0.86824,0.0006536,0.0006536,0.0006536
70,344.06,0.57807,0.34876,0.91828,0.99931,1,0.995,0.85939,0.60885,0.29473,0.86561,0.0006338,0.0006338,0.0006338
71,348.883,0.60438,0.34064,0.92164,0.99928,1,0.995,0.85882,0.59607,0.27555,0.87015,0.000614,0.000614,0.000614
72,353.864,0.5546,0.32631,0.90609,0.99931,1,0.995,0.85422,0.61707,0.28248,0.87952,0.0005942,0.0005942,0.0005942
73,358.808,0.58105,0.32845,0.91982,0.9993,1,0.995,0.86304,0.59608,0.28206,0.87222,0.0005744,0.0005744,0.0005744
74,363.672,0.60179,0.34761,0.92869,0.9993,1,0.995,0.86309,0.59956,0.28947,0.86963,0.0005546,0.0005546,0.0005546
75,368.334,0.55605,0.32518,0.90561,0.9993,1,0.995,0.86198,0.59556,0.28416,0.86707,0.0005348,0.0005348,0.0005348
76,373.397,0.59412,0.34904,0.91165,0.99925,1,0.995,0.85918,0.60329,0.28731,0.86574,0.000515,0.000515,0.000515
77,378.315,0.57092,0.32293,0.90721,0.99904,1,0.995,0.86773,0.56922,0.27861,0.85423,0.0004952,0.0004952,0.0004952
78,383.171,0.5899,0.33261,0.91202,0.99915,1,0.995,0.87655,0.58932,0.27697,0.86743,0.0004754,0.0004754,0.0004754
79,388.446,0.56806,0.3322,0.90295,0.99929,1,0.995,0.8585,0.56913,0.26588,0.85531,0.0004556,0.0004556,0.0004556
80,393.274,0.57651,0.32647,0.90957,0.9993,1,0.995,0.88142,0.58424,0.26754,0.86145,0.0004358,0.0004358,0.0004358
81,398.35,0.58027,0.33694,0.91877,0.99929,1,0.995,0.87278,0.56956,0.26292,0.86106,0.000416,0.000416,0.000416
82,403.601,0.5756,0.32494,0.90319,0.9993,1,0.995,0.87189,0.57907,0.26652,0.86234,0.0003962,0.0003962,0.0003962
83,408.571,0.50982,0.31033,0.89268,0.99928,1,0.995,0.8624,0.58688,0.27852,0.86203,0.0003764,0.0003764,0.0003764
84,413.492,0.57043,0.32261,0.91802,0.99929,1,0.995,0.88341,0.57043,0.26186,0.85849,0.0003566,0.0003566,0.0003566
85,418.811,0.5456,0.32056,0.89971,0.99929,1,0.995,0.87234,0.57502,0.26866,0.86274,0.0003368,0.0003368,0.0003368
86,423.492,0.54717,0.31989,0.89974,0.9993,1,0.995,0.87023,0.60449,0.27012,0.87315,0.000317,0.000317,0.000317
87,428.418,0.53162,0.31168,0.89195,0.99931,1,0.995,0.87535,0.57836,0.25489,0.86764,0.0002972,0.0002972,0.0002972
88,433.37,0.52476,0.30304,0.8841,0.9993,1,0.995,0.87077,0.57922,0.26316,0.85991,0.0002774,0.0002774,0.0002774
89,438.403,0.53369,0.3078,0.90341,0.99931,1,0.995,0.87345,0.59475,0.26262,0.8668,0.0002576,0.0002576,0.0002576
